Num,Operation,module,Dept
1,1209,TRDI,AE
2,2209,TRDI,AE
3,1171,DSA,AE
4,1960,DSA,AE
5,1173,DSA,AE
6,2173,MHS,AE
7,2174,MHS,AE
8,2175,MHS,AE
9,2037,MHS,AE
10,2170,MHS,AE
165,8604,FINISH,AE
12,1210,CAM/TCB,AE
13,2210,CAM/TCB,AE
14,1204,CAM/TCB,AE
15,1509,CAM/TCB,AE
16,2004,CAM/TCB,AE
17,1841,CAM/TCB,AE
18,2215,CAM/TCB,AE
19,1215,CAM/TCB,AE
20,1216,CAM/TCB,AE
21,1843,CAM/TCB,AE
22,1892,CAM/TCB,AE
23,2225,EPOXY,AE
24,1225,EPOXY,AE
25,2235,EPOXY,AE
26,1235,EPOXY,AE
27,1793,EPOXY,AE
166,7063,FINISH,AE
29,1504,EPOXY,AE
30,1430,EPOXY,AE
31,1293,MHS,AE
32,2295,MHS,AE
33,1310,MHS,AE
34,5001,MHS,AE
35,5002,MHS,AE
36,0011,MHS,AE
37,2172,MHS,AE
38,1429,MHS,AE
39,2035,MHS,AE
40,1286,EPOXY,AE
41,1237,EPOXY,AE
42,1253,EPOXY,AE
43,1268,DSA,AE
44,4992,MHS,AE
45,5653,MHS,AE
46,2171,MHS,AE
47,2176,MHS,AE
48,2178,MHS,AE
49,8120,MHS,AE
50,2238,MHS,AE
51,1238,MHS,AE
52,2090,MHS,AE
53,2015,MHS,AE
54,2208,MHS,AE
167,7062,FINISH,AE
56,1208,MHS,AE
57,2169,MHS,AE
58,1285,MHS,AE
59,2287,MHS,AE
60,1287,MHS,AE
61,2150,MHS,AE
62,2151,MHS,AE
63,1933,BA,AE
64,2182,MHS,AE
65,2152,MHS,AE
66,5652,MHS,AE
67,5651,MHS,AE
68,1934,MHS,AE
69,5654,MHS,AE
70,2183,MHS,AE
71,2139,MHS,AE
72,2036,MHS,AE
73,2177,MHS,AE
74,2016,MHS,AE
75,1440,BA,AE
76,1294,BA,AE
77,2294,BA,AE
78,1979,BA,AE
79,2116,BA,AE
80,2133,BA,AE
81,7871,LCBI/OLX,TE
82,7571,LCBI/OLX,TE
83,7572,LCBI/OLX,TE
84,7084,LCBI/OLX,TE
85,7310,LCBI/OLX,TE
86,7611,LCBI/OLX,TE
87,7612,LCBI/OLX,TE
88,7613,LCBI/OLX,TE
89,7460,LCBI/OLX,TE
90,8214,LCBI/OLX,TE
91,7462,LCBI/OLX,TE
92,7463,LCBI/OLX,TE
93,7465,LCBI/OLX,TE
94,6684,LCBI/OLX,TE
95,7464,LCBI/OLX,TE
96,8566,LCBI/OLX,TE
97,6197,HDMX,TE
98,6511,LCBI/OLX,TE
99,7757,V8,TE
100,6676,LCBI/OLX,TE
101,8585,LCBI/OLX,TE
102,8595,HDMX,TE
103,6209,LCBI/OLX,TE
104,6557,HDMX,TE
105,6881,V8,TE
106,6883,V8,TE
107,6884,V8,TE
108,6885,V8,TE
109,6889,V8,TE
110,6832,V8,TE
111,7721,V8,TE
112,6212,HDMX,TE
113,6262,HDMX,TE
114,6242,HDMX,TE
115,6208,HDMX,TE
116,6243,HDMX,TE
117,6258,HDMX,TE
118,6261,HDMX,TE
119,6215,HDMX,TE
120,6213,HDMX,TE
121,6217,HDMX,TE
122,6677,HDMX,TE
123,6193,HDMX,TE
124,6263,HDMX,TE
125,6216,HDMX,TE
126,6248,HDMX,TE
127,7820,HDMX,TE
128,6274,HDMX,TE
129,8251,Summit/Extreme,TE
130,8201,Summit/Extreme,TE
131,7722,Summit/Extreme,TE
132,7723,Summit/Extreme,TE
133,7731,Summit/Extreme,TE
134,7732,Summit/Extreme,TE
135,7733,Summit/Extreme,TE
136,7726,Summit/Extreme,TE
137,7736,Summit/Extreme,TE
138,7060,HDMX,TE
139,7741,Summit/Extreme,TE
140,7742,Summit/Extreme,TE
141,2050,V8,TE
142,7734,V8,TE
143,7735,V8,TE
144,7745,V8,TE
145,7711,V8,TE
146,6833,V8,TE
147,6267,HDMX,TE
148,7983,LCBI/OLX,TE
149,7290,SFGI,TE
150,7600,SFGI,TE
151,7200,SFGI,TE
152,3200,SFGI,TE
153,3700,SFGI,TE
154,9021,SFGI,TE
155,9022,SFGI,TE
156,7297,STHI,TE
157,6970,STHI,TE
158,6508,STHI,TE
159,7980,STHI,TE
160,7899,STHI,TE
161,7295,STHI,TE
162,7981,STHI,TE
163,6452,STHI,TE
164,7789,STHI,TE
168,7904,FINISH,AE
169,7754,FINISH,AE
170,7485,FINISH,AE
171,7906,FINISH,AE
172,7300,FINISH,AE
173,7100,FINISH,AE
174,7296,FINISH,AE
175,7908,FINISH,AE
176,7907,FINISH,AE
177,1680,FINISH,AE
178,1686,FINISH,AE
179,1780,FINISH,AE
180,1687,FINISH,AE
181,6394,FINISH,AE
183,7414,FINISH,AE
184,7473,FINISH,AE
185,7343,FINISH,AE
188,7226,FINISH,AE
189,1704,FINISH,AE
190,8299,FINISH,AE
191,8397,FINISH,AE
192,8336,FINISH,AE
193,8048,FINISH,AE
194,8555,FINISH,AE
197,8339,FINISH,AE
201,7976,FINISH,AE
202,7800,FINISH,AE
207,8342,FINISH,AE
208,8020,FINISH,AE
209,7454,FINISH,AE
210,7344,FINISH,AE
211,8344,FINISH,AE
212,7475,FINISH,AE
213,7059,FINISH,AE
214,7345,FINISH,AE
215,8345,FINISH,AE
216,7399,FINISH,AE
217,8399,FINISH,AE
233,6985,FINISH,AE
234,1007,FINISH,AE
235,7675,FINISH,AE
206,6555,HDMX,TE
236,7596,FINISH,AE
11,1175,XVI,AE
28,1863,XVI,AE
55,1245,XVI,AE
182,6547,XVI,AE
186,7356,XVI,AE
187,7390,XVI,AE
195,7339,XVI,AE
198,7472,XVI,AE
199,7474,XVI,AE
200,7354,XVI,AE
203,6982,XVI,AE
204,7333,XVI,AE
205,7336,XVI,AE
218,8597,FINISH,AE
219,1246,XVI,AE
220,7329,XVI,AE
221,8041,XVI,AE
222,2252,XVI,AE
223,8337,XVI,AE
224,2242,XVI,AE
225,7327,XVI,AE
226,7368,XVI,AE
227,7355,XVI,AE
229,1025,XVI,AE
230,7417,XVI,AE
231,7937,XVI,AE
232,7330,XVI,AE
237,1091,XVI,AE
238,1269,XVI,AE
239,6679,LCBI/OLX,TE
240,1248,XVI,AE
241,7391,XVI,AE
242,7510,XVI,AE
